Model,Seed,epoch,train_loss,train_f1,dev_loss,dev_f1,lr,epoch_s
CharBiLSTM,42,15,0.061668,0.982068,0.168996,0.965678,0.00025,3.09
CharBiLSTM,42,16,0.061256,0.982349,0.18545,0.964361,0.00025,3.06
CharBiLSTM,42,17,0.057806,0.982949,0.176969,0.966176,0.00025,3.06
CharBiLSTM,42,18,0.056167,0.983646,0.174589,0.965272,0.000125,3.05
CharBiLSTM,7,1,0.21924,0.912056,0.243093,0.9284,0.001,2.96
CharBiLSTM,7,2,0.158523,0.9407,0.192815,0.949225,0.001,3.04
CharBiLSTM,7,3,0.136128,0.951376,0.177322,0.955433,0.001,3.05
CharBiLSTM,7,4,0.123036,0.958703,0.170628,0.959522,0.001,2.79
CharBiLSTM,7,5,0.114057,0.959361,0.15862,0.961359,0.001,3.09
CharBiLSTM,7,6,0.104562,0.965719,0.165302,0.963227,0.001,3.08
CharBiLSTM,7,7,0.099377,0.966123,0.15614,0.964758,0.001,2.96
CharBiLSTM,7,8,0.097971,0.964765,0.151529,0.963398,0.001,2.8
CharBiLSTM,7,9,0.092216,0.967077,0.156667,0.965802,0.001,3.07
CharBiLSTM,7,10,0.085392,0.970397,0.153285,0.966448,0.001,2.96
CharBiLSTM,7,11,0.090871,0.965686,0.157653,0.960163,0.001,2.93
CharBiLSTM,7,12,0.070361,0.977942,0.16356,0.965834,0.0005,3.11
CharBiLSTM,7,13,0.068156,0.979369,0.165167,0.966354,0.0005,2.89
CharBiLSTM,7,14,0.068069,0.980074,0.183639,0.962743,0.0005,3.02
CharBiLSTM,7,15,0.060844,0.98171,0.16785,0.965547,0.00025,2.86
CharBiLSTM,7,16,0.059059,0.982866,0.175757,0.965369,0.00025,3.0
CharBiLSTM,123,1,0.207002,0.920046,0.243846,0.929807,0.001,2.88
CharBiLSTM,123,2,0.15909,0.941689,0.2005,0.949064,0.001,3.07
CharBiLSTM,123,3,0.145271,0.943652,0.175531,0.952181,0.001,3.27
CharBiLSTM,123,4,0.123435,0.954825,0.163643,0.959627,0.001,3.11
CharBiLSTM,123,5,0.112469,0.960883,0.160573,0.960882,0.001,3.17
CharBiLSTM,123,6,0.105228,0.964374,0.166838,0.962081,0.001,3.16
CharBiLSTM,123,7,0.100759,0.964175,0.147061,0.965663,0.001,3.11
CharBiLSTM,123,8,0.092803,0.970152,0.154091,0.965851,0.001,3.12
CharBiLSTM,123,9,0.087467,0.971831,0.160081,0.965636,0.001,2.95
CharBiLSTM,123,10,0.083075,0.97331,0.150158,0.966027,0.001,3.08
CharBiLSTM,123,11,0.075646,0.976348,0.156582,0.966548,0.0005,2.96
CharBiLSTM,123,12,0.072037,0.977601,0.15874,0.966787,0.0005,2.84
CharBiLSTM,123,13,0.068376,0.97868,0.157468,0.966912,0.0005,2.95
CharBiLSTM,123,14,0.067161,0.978102,0.155496,0.965442,0.00025,3.23
CharBiLSTM,123,15,0.063482,0.981237,0.167904,0.96644,0.00025,2.82
CharBiLSTM,123,16,0.061591,0.981749,0.170634,0.96703,0.00025,3.06
CharBiLSTM,123,17,0.059819,0.982223,0.167087,0.966196,0.000125,2.99
CharBiLSTM,123,18,0.058954,0.982318,0.168459,0.966035,0.000125,3.03
CharBiLSTM,123,19,0.05782,0.983671,0.178035,0.966178,0.000125,3.2
CharBiLSTM,123,20,0.056937,0.983096,0.172356,0.966086,6.25e-05,3.17
CharBiLSTM,123,21,0.056102,0.984066,0.179194,0.965796,6.25e-05,3.13
CharBiLSTM,123,22,0.055723,0.984217,0.182302,0.965323,6.25e-05,3.04
CharBiLSTM,2024,1,0.205497,0.921335,0.241375,0.932396,0.001,2.95
CharBiLSTM,2024,2,0.15972,0.94367,0.207691,0.948018,0.001,3.02
CharBiLSTM,2024,3,0.151391,0.948571,0.223194,0.945651,0.001,3.09
CharBiLSTM,2024,4,0.127435,0.95701,0.186577,0.956791,0.001,3.04
CharBiLSTM,2024,5,0.124284,0.952666,0.165168,0.957347,0.001,3.08
CharBiLSTM,2024,6,0.109462,0.963963,0.176461,0.959802,0.001,2.85
CharBiLSTM,2024,7,0.102618,0.967258,0.169707,0.962338,0.001,3.0
CharBiLSTM,2024,8,0.092359,0.969011,0.156115,0.965664,0.001,3.02
CharBiLSTM,2024,9,0.088424,0.971729,0.162551,0.96509,0.001,3.17
CharBiLSTM,2024,10,0.084733,0.973261,0.160593,0.96534,0.001,3.02
CharBiLSTM,2024,11,0.082597,0.972217,0.149226,0.964726,0.001,3.13
CharBiLSTM,2024,12,0.074889,0.977281,0.168381,0.964385,0.001,3.22
CharBiLSTM,2024,13,0.07357,0.975012,0.155711,0.965212,0.001,3.07
CharBiLSTM,2024,14,0.068887,0.979238,0.165966,0.96583,0.001,3.07
CharBiLSTM,2024,15,0.059895,0.982494,0.175588,0.966687,0.0005,3.09
CharBiLSTM,2024,16,0.061368,0.982383,0.196776,0.963362,0.0005,3.0
CharBiLSTM,2024,17,0.054119,0.983693,0.175103,0.965618,0.0005,2.96
CharBiLSTM,2024,18,0.050059,0.985644,0.181116,0.965378,0.00025,2.95
CharBiLSTM,2024,19,0.048774,0.985646,0.184343,0.964894,0.00025,2.86
CharBiLSTM,2024,20,0.046736,0.987259,0.202142,0.964229,0.00025,2.88
CharBiLSTM,2024,21,0.044878,0.987412,0.199878,0.96482,0.000125,2.99
CharBiLSTM,777,1,0.216331,0.913552,0.244119,0.929186,0.001,3.15
CharBiLSTM,777,2,0.167026,0.934765,0.1925,0.947356,0.001,2.97
CharBiLSTM,777,3,0.138143,0.950795,0.181642,0.957345,0.001,3.12
CharBiLSTM,777,4,0.135128,0.955005,0.202135,0.954387,0.001,2.97
CharBiLSTM,777,5,0.114549,0.961261,0.169744,0.960477,0.001,2.92
CharBiLSTM,777,6,0.109339,0.961435,0.15104,0.963273,0.001,2.98
