row_id,suffix3,label,n_wrong_of_20,n_models_ever_wrong,n_chars,n_tokens,wrong_CharBiRNN,wrong_CharBiGRU,wrong_CharBiLSTM,wrong_CharTransformer,ends_listed_suffix,unseen_tokens,all_tokens_unseen
176,dan,0,0,0,10,2,0,0,0,0,False,0,False
177,nti,1,0,0,11,2,0,0,0,0,True,0,False
178,bar,0,0,0,15,3,0,0,0,0,False,0,False
179,ang,0,0,0,12,2,0,0,0,0,False,2,True
180,tya,0,0,0,20,3,0,0,0,0,False,1,False
181,ssa,1,13,4,11,2,3,3,4,3,False,0,False
182,ani,1,3,1,30,3,0,0,0,3,True,0,False
183,nda,1,0,0,17,3,0,0,0,0,False,0,False
184,hra,1,0,0,19,3,0,0,0,0,False,0,False
185,ani,1,0,0,15,2,0,0,0,0,True,0,False
186,gan,1,0,0,30,4,0,0,0,0,False,1,False
187,ani,1,0,0,19,3,0,0,0,0,True,1,False
188,ini,1,0,0,19,3,0,0,0,0,False,0,False
189,yan,0,20,4,20,3,5,5,5,5,False,1,False
190,ana,1,0,0,21,3,0,0,0,0,False,0,False
191,ini,1,0,0,22,3,0,0,0,0,False,0,False
192,ayu,1,0,0,17,3,0,0,0,0,False,0,False
193,ani,1,0,0,21,3,0,0,0,0,True,0,False
194,hra,1,0,0,12,2,0,0,0,0,False,0,False
195,wan,1,0,0,28,4,0,0,0,0,True,0,False
196,man,1,0,0,20,3,0,0,0,0,True,0,False
197,zah,1,0,0,18,3,0,0,0,0,True,0,False
198,tri,1,0,0,20,3,0,0,0,0,False,0,False
199,rin,1,0,0,30,4,0,0,0,0,False,2,False
200,tri,1,0,0,21,3,0,0,0,0,False,0,False
201,ini,1,0,0,12,2,0,0,0,0,False,0,False
202,ari,1,0,0,24,3,0,0,0,0,False,0,False
203,ati,1,0,0,17,2,0,0,0,0,True,0,False
204,tri,1,0,0,16,2,0,0,0,0,False,0,False
205,hra,1,0,0,22,3,0,0,0,0,False,1,False
206,tri,1,0,0,24,3,0,0,0,0,False,1,False
207,ati,1,0,0,16,2,0,0,0,0,True,0,False
208,tri,1,0,0,25,4,0,0,0,0,False,1,False
209,ani,1,0,0,20,3,0,0,0,0,True,0,False
210,nta,1,0,0,18,3,0,0,0,0,False,1,False
211,ira,0,0,0,18,3,0,0,0,0,False,0,False
212,ara,1,1,1,18,3,0,0,0,1,False,0,False
213,nda,1,0,0,26,3,0,0,0,0,False,1,False
214,nti,1,0,0,17,2,0,0,0,0,True,1,False
215,tri,1,0,0,21,3,0,0,0,0,False,1,False
216,yah,1,0,0,23,3,0,0,0,0,True,2,False
217,ara,1,0,0,14,2,0,0,0,0,False,1,False
218,tri,1,0,0,19,3,0,0,0,0,False,1,False
219,tyo,0,0,0,14,2,0,0,0,0,False,0,False
220,nik,0,0,0,18,3,0,0,0,0,False,2,False
221,ifa,0,0,0,23,3,0,0,0,0,False,0,False
222,hia,1,0,0,29,3,0,0,0,0,False,2,False
223,lah,1,0,0,22,3,0,0,0,0,True,1,False
224,uma,1,0,0,30,4,0,0,0,0,False,1,False
225,hil,0,0,0,22,3,0,0,0,0,False,0,False
226,lah,1,0,0,19,3,0,0,0,0,True,0,False
227,zat,0,14,4,22,4,5,4,3,2,False,0,False
228,aya,0,0,0,17,3,0,0,0,0,False,0,False
229,nta,0,0,0,21,3,0,0,0,0,False,0,False
230,rah,0,0,0,11,2,0,0,0,0,True,0,False
231,lim,1,20,4,18,3,5,5,5,5,False,0,False
232,wan,0,0,0,17,3,0,0,0,0,True,0,False
233,ian,0,0,0,11,2,0,0,0,0,False,0,False
234,nto,1,20,4,13,2,5,5,5,5,True,0,False
235,ata,0,0,0,16,3,0,0,0,0,False,0,False
236,ana,0,0,0,18,3,0,0,0,0,False,0,False
237,tra,0,0,0,21,4,0,0,0,0,False,1,False
238,ama,0,0,0,17,3,0,0,0,0,False,0,False
239,udi,0,0,0,14,3,0,0,0,0,False,0,False
240,oho,0,0,0,17,3,0,0,0,0,False,0,False
241,oho,1,20,4,17,3,5,5,5,5,False,0,False
242,wan,0,0,0,21,3,0,0,0,0,True,0,False
243,uqi,1,4,3,13,2,1,1,2,0,False,0,False
244,lwa,1,0,0,23,3,0,0,0,0,False,2,False
245,tya,0,0,0,20,3,0,0,0,0,False,0,False
246,ama,0,0,0,20,3,0,0,0,0,False,0,False
247,yah,0,0,0,15,2,0,0,0,0,True,0,False
248,lia,1,0,0,13,2,0,0,0,0,False,0,False
249,ose,1,0,0,18,3,0,0,0,0,False,1,False
250,mah,1,0,0,20,3,0,0,0,0,True,0,False
251,ful,1,0,0,23,3,0,0,0,0,False,1,False
252,han,1,0,0,25,4,0,0,0,0,False,0,False
253,yat,0,11,4,14,2,3,1,2,5,False,0,False
