Strategy,Model,Seed,Accuracy,Precision,Recall,F1,Best_epoch,Train_s,F1_weighted,diff_pp
balanced,CharBiRNN,42,0.955662,0.968429,0.943545,0.955825,14,64.4,0.956386,-0.05609999999999227
balanced,CharBiRNN,7,0.954782,0.972212,0.937863,0.954728,20,85.2,0.957671,-0.2943000000000029
balanced,CharBiRNN,123,0.954594,0.967529,0.94231,0.954753,13,59.1,0.95656,-0.1807000000000003
balanced,CharBiRNN,2024,0.955724,0.968314,0.943792,0.955896,29,103.6,0.958981,-0.30850000000000044
balanced,CharBiRNN,777,0.956792,0.966495,0.947869,0.957091,14,59.2,0.957278,-0.01869999999999372
balanced,CharBiLSTM,42,0.956855,0.96416,0.950463,0.957263,14,61.0,0.959525,-0.22619999999999862
balanced,CharBiLSTM,7,0.956792,0.959662,0.955158,0.957405,12,54.4,0.958576,-0.11710000000000331
balanced,CharBiLSTM,123,0.960309,0.976017,0.945151,0.960336,14,61.0,0.959299,0.10369999999999546
balanced,CharBiLSTM,2024,0.958237,0.962871,0.954663,0.958749,15,65.1,0.957881,0.08679999999999799
balanced,CharBiLSTM,777,0.957043,0.966746,0.948116,0.957341,9,46.0,0.959309,-0.19679999999999698
balanced,CharBiGRU,42,0.958425,0.976413,0.940951,0.958354,10,47.4,0.960913,-0.2558999999999978
balanced,CharBiGRU,7,0.959116,0.971497,0.947375,0.959285,15,62.7,0.96012,-0.08349999999999191
balanced,CharBiGRU,123,0.958927,0.971845,0.946634,0.959074,7,38.8,0.958008,0.10660000000000114
balanced,CharBiGRU,2024,0.958613,0.965681,0.95244,0.959015,8,42.0,0.958323,0.06919999999999149
balanced,CharBiGRU,777,0.957294,0.972474,0.942681,0.957345,9,45.2,0.959293,-0.19479999999999498
balanced,CharTransformer,42,0.954782,0.961341,0.949228,0.955246,47,757.0,0.956787,-0.15410000000000146
balanced,CharTransformer,7,0.954092,0.957164,0.952316,0.954734,27,498.6,0.955922,-0.11880000000000779
balanced,CharTransformer,123,0.955285,0.963116,0.948363,0.955683,27,491.4,0.95547,0.02129999999999077
balanced,CharTransformer,2024,0.954531,0.960745,0.949351,0.955014,27,490.1,0.956386,-0.13719999999999288
