Family,Model,Seed,external_full,external_clean,external_clean_dedup
from scratch,WordTransformer,42,0.8540596094552929,0.8341645885286783,0.8371161548731643
from scratch,WordTransformer,7,0.8558187435633368,0.8357276702061212,0.8372404554588079
from scratch,WordTransformer,123,0.8549618320610688,0.8360049321824907,0.8388375165125496
from scratch,WordTransformer,2024,0.8534704370179949,0.8334373050530255,0.8353413654618475
from scratch,WordTransformer,777,0.8584615384615385,0.8395522388059703,0.8413333333333334
classical,TF-IDF+SVM,42,0.9460390355912744,0.9376770538243626,0.9357520786092216
classical,TF-IDF+LR,42,0.9439630271519353,0.9342857142857142,0.9338403041825095
classical,TF-IDF+RF,42,0.9185360094451004,0.904029304029304,0.9056897895557288
classical,TF-IDF+SVM,7,0.9460390355912744,0.9376770538243626,0.9357520786092216
classical,TF-IDF+LR,7,0.9439630271519353,0.9342857142857142,0.9338403041825095
classical,TF-IDF+RF,7,0.9173553719008264,0.9032258064516129,0.9048361934477379
classical,TF-IDF+SVM,123,0.9460390355912744,0.9376770538243626,0.9357520786092216
classical,TF-IDF+LR,123,0.9439630271519353,0.9342857142857142,0.9338403041825095
classical,TF-IDF+RF,123,0.9117997616209774,0.8961424332344213,0.8983451536643027
classical,TF-IDF+SVM,2024,0.9460390355912744,0.9376770538243626,0.9357520786092216
classical,TF-IDF+LR,2024,0.9439630271519353,0.9342857142857142,0.9338403041825095
classical,TF-IDF+RF,2024,0.9156908665105387,0.9011627906976744,0.9017788089713843
classical,TF-IDF+SVM,777,0.9460390355912744,0.9376770538243626,0.9357520786092216
classical,TF-IDF+LR,777,0.9439630271519353,0.9342857142857142,0.9338403041825095
classical,TF-IDF+RF,777,0.9151943462897526,0.8983174835405998,0.8996108949416342
pretrained,IndoBERT,42,0.9296740994854203,0.9190710767065445,0.9187969924812031
pretrained,IndoBERT,7,0.9371757925072045,0.9266903914590747,0.9240121580547113
pretrained,IndoBERT,123,0.9351100811123987,0.9240687679083094,0.9236641221374047
pretrained,IndoBERT,2024,0.9338747099767981,0.9225251076040172,0.9187116564417177
pretrained,IndoBERT,777,0.9337979094076656,0.9239598278335724,0.9203675344563553
pretrained,mBERT,42,0.9393414211438476,0.929336188436831,0.9276466108149277
pretrained,mBERT,7,0.9357060849598163,0.9249291784702549,0.9222641509433962
pretrained,mBERT,123,0.9332559489262913,0.9240687679083094,0.9221374045801527
pretrained,mBERT,2024,0.9412442396313363,0.9317211948790897,0.9278663629460896
pretrained,mBERT,777,0.9267139479905437,0.9141599413059428,0.9140625
pretrained,XLM-R,42,0.9395667046750286,0.9290231904427266,0.9264264264264264
pretrained,XLM-R,7,0.9337175792507205,0.923076923076923,0.9227272727272728
pretrained,XLM-R,123,0.9404279930595721,0.9313304721030043,0.9306930693069307
pretrained,XLM-R,2024,0.9371757925072045,0.9274537695590327,0.9264594389689158
pretrained,XLM-R,777,0.9332566168009205,0.9218750000000001,0.9221466364323507
